"","DATE","RENTED_BIKE_COUNT","TEMPERATURE","HUMIDITY","WIND_SPEED","VISIBILITY","DEW_POINT_TEMPERATURE","SOLAR_RADIATION","RAINFALL","SNOWFALL","HOLIDAY","Spring","Summer","Autumn","Winter","Holiday","No_Holiday","FUNC_DAY_YES","HOUR0","HOUR1","HOUR2","HOUR3","HOUR4","HOUR5","HOUR6","HOUR7","HOUR8","HOUR9","HOUR10","HOUR11","HOUR12","HOUR13","HOUR14","HOUR15","HOUR16","HOUR17","HOUR18","HOUR19","HOUR20","HOUR21","HOUR22","HOUR23","RENTED_BIKE_COUNT_normalize","TEMPERATURE_normalize","HUMIDITY_normalize","WIND_SPEED_normalize","VISIBILITY_normalize","DEW_POINT_TEMPERATURE_normalize","SOLAR_RADIATION_normalize","RAINFALL_normalize","SNOWFALL_normalize"
"1","01/12/2017",254,-5.2,37,2.2,2000,-17.6,0,0,0,"No Holiday",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,-0.131979695431472,0.377551020408163,0.297297297297297,1,-0.647058823529412,0,0,0
"2","01/12/2017",204,-5.5,38,0.8,2000,-17.6,0,0,0,"No Holiday",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573678290213723,-0.139593908629442,0.387755102040816,0.108108108108108,1,-0.647058823529412,0,0,0
"3","01/12/2017",173,-6,39,1,2000,-17.7,0,0,0,"No Holiday",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486501687289089,-0.152284263959391,0.397959183673469,0.135135135135135,1,-0.650735294117647,0,0,0
"4","01/12/2017",107,-6.2,40,0.9,2000,-17.6,0,0,0,"No Holiday",0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300899887514061,-0.157360406091371,0.408163265306122,0.121621621621622,1,-0.647058823529412,0,0,0
"5","01/12/2017",78,-6,36,2.3,2000,-18.6,0,0,0,"No Holiday",0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219347581552306,-0.152284263959391,0.36734693877551,0.310810810810811,1,-0.683823529411765,0,0,0
"6","01/12/2017",100,-6.4,37,1.5,2000,-18.7,0,0,0,"No Holiday",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281214848143982,-0.16243654822335,0.377551020408163,0.202702702702703,1,-0.6875,0,0,0
"7","01/12/2017",181,-6.6,35,1.3,2000,-19.5,0,0,0,"No Holiday",0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508998875140607,-0.16751269035533,0.357142857142857,0.175675675675676,1,-0.716911764705882,0,0,0
"8","01/12/2017",460,-7.4,38,0.9,2000,-19.3,0,0,0,"No Holiday",0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129358830146232,-0.187817258883249,0.387755102040816,0.121621621621622,1,-0.709558823529412,0,0,0
"9","01/12/2017",930,-7.6,37,1.1,2000,-19.8,0.01,0,0,"No Holiday",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261529808773903,-0.192893401015228,0.377551020408163,0.148648648648649,1,-0.727941176470588,0.00284090909090909,0,0
"10","01/12/2017",490,-6.5,27,0.5,1928,-22.4,0.23,0,0,"No Holiday",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137795275590551,-0.16497461928934,0.275510204081633,0.0675675675675676,0.964,-0.823529411764706,0.0653409090909091,0,0
